,Unnamed: 0,time,open,high,low,close,volume,RSI_14,ema_4,ema_15,macd,macdSignal,macdHist
64,64,2022-09-12 12:15:00,22344.55,22348.65,22270.0,22272.17,399.74508,41.71015354373569,22305.368004265707,22312.88895180139,-19.87744443981137,-1.0251991596435555,-18.852245280167814
65,65,2022-09-12 12:16:00,22270.2,22297.45,22270.0,22288.0,221.42309,45.47167621927277,22298.420802559423,22309.777832826214,-19.80545486750634,-3.9144692685455227,-15.89098559896082
66,66,2022-09-12 12:17:00,22286.92,22290.98,22259.81,22263.26,361.67866,41.01679657371533,22284.356481535655,22303.963103722937,-31.21883966950918,-8.115141637924546,-23.103698031584635
67,67,2022-09-12 12:18:00,22263.26,22280.43,22256.98,22264.83,250.56838,41.4090889813416,22276.545888921395,22299.07146575757,-30.903698419460852,-11.621073450468593,-19.28262496899226
68,68,2022-09-12 12:19:00,22262.81,22294.24,22245.93,22286.56,283.89025,46.69360941570599,22280.55153335284,22297.507532537875,-16.476328865493997,-12.368035822010963,-4.108293043483034
69,69,2022-09-12 12:20:00,22286.53,22297.98,22270.0,22283.39,236.04749,46.04122079007284,22281.686920011703,22295.74284097064,-12.5345262063056,-12.39364972728706,-0.14087647901853906
70,70,2022-09-12 12:21:00,22283.39,22287.23,22253.32,22257.64,276.06973,41.02681586766735,22272.06815200702,22290.97998584931,-24.014936441981263,-14.181539991086169,-9.833396450895094
71,71,2022-09-12 12:22:00,22259.33,22280.82,22250.71,22259.66,535.35912,41.56447661119941,22267.104891204213,22287.064987618145,-24.119505048554856,-15.710457692235197,-8.40904735631966
72,72,2022-09-12 12:23:00,22258.76,22273.23,22251.46,22260.93,292.13352,41.92298151352091,22264.63493472253,22283.79811416588,-21.328424419472867,-16.574760265656376,-4.753664153816491
73,73,2022-09-12 12:24:00,22260.93,22267.24,22250.11,22258.73,224.06445,41.4485957737014,22262.272960833518,22280.664599895143,-19.799585622673476,-17.07088724365901,-2.7286983790144674
74,74,2022-09-12 12:25:00,22258.73,22263.56,22226.23,22234.22,490.3751,36.49401991259574,22251.05177650011,22274.859024908248,-30.669957914917177,-19.16305196231411,-11.506905952603066
75,75,2022-09-12 12:26:00,22231.91,22248.26,22202.21,22232.71,651.92164,36.206871788003205,22243.715065900065,22269.590396794716,-31.889402540240553,-21.12095205122587,-10.768450489014683
76,76,2022-09-12 12:27:00,22232.72,22270.11,22227.15,22263.95,341.29515,45.72222804132458,22251.80903954004,22268.885347195377,-12.745739650643372,-19.83245783575164,7.086718185108268
77,77,2022-09-12 12:28:00,22263.95,22285.71,22251.05,22279.66,263.24757,49.77904976157312,22262.949423724025,22270.232178795955,2.2962731530715246,-16.428037683625,18.724310836696525
78,78,2022-09-12 12:29:00,22279.08,22298.76,22273.12,22287.1,314.86925,51.62314348411484,22272.609654234413,22272.34065644646,10.405630349428975,-12.299781063155159,22.705411412584134
79,79,2022-09-12 12:30:00,22287.1,22307.7,22280.87,22305.42,303.11946,55.91572889601954,22285.733792540646,22276.475574390653,21.59405528620482,-7.085344701715162,28.679399987919982
80,80,2022-09-12 12:31:00,22305.08,22323.38,22300.48,22306.13,382.63903,56.078387536790586,22293.892275524388,22280.182377591824,23.28546202027792,-2.4129128983316104,25.69837491860953
81,81,2022-09-12 12:32:00,22306.12,22320.69,22301.22,22308.36,260.65131,56.61978519170956,22299.679365314634,22283.704580392845,22.893605119432323,1.4803975659397643,21.41320755349256
82,82,2022-09-12 12:33:00,22310.16,22321.22,22298.12,22308.06,241.90693,56.518852349179525,22303.03161918878,22286.74900784374,20.585414893015695,4.4196310008745225,16.16578389214117
83,83,2022-09-12 12:34:00,22307.35,22357.02,22306.11,22345.27,383.14581,64.8811818770583,22319.92697151327,22294.064131863273,37.93412305933816,9.575706702176621,28.35841635716154
84,84,2022-09-12 12:35:00,22346.06,22373.25,22331.6,22353.71,397.27332,66.45696378566728,22333.44018290796,22301.519865380364,44.07538336877769,14.883349266269095,29.1920341025086
85,85,2022-09-12 12:36:00,22355.48,22372.2,22349.59,22354.85,280.26714,66.6744743298285,22342.004109744776,22308.18613220782,42.539713380945614,19.138174514680866,23.401538866264747
86,86,2022-09-12 12:37:00,22354.85,22376.97,22348.41,22361.23,351.25702,67.92792018511673,22349.694465846864,22314.81661568184,41.717434195044916,22.611906773198413,19.105527421846503
87,87,2022-09-12 12:38:00,22361.23,22389.43,22357.57,22370.44,405.0381,69.69965908177952,22357.99267950812,22321.76953872161,42.68367050178131,25.699870423749626,16.98380007803168
88,88,2022-09-12 12:39:00,22371.66,22384.93,22361.22,22372.74,359.91898,70.14323527629683,22363.89160770487,22328.14084638141,40.39536805690295,27.960716213465524,12.434651843437429
89,89,2022-09-12 12:40:00,22372.74,22375.15,22348.33,22363.35,381.37506,65.90154685196435,22363.674964622922,22332.541990583733,31.1356035233257,28.449160414982472,2.6864431083432265
90,90,2022-09-12 12:41:00,22364.53,22368.43,22342.98,22350.32,325.97736,60.4397085473576,22358.332978773753,22334.764241760768,18.743617900439858,26.95600002812976,-8.212382127689903
91,91,2022-09-12 12:42:00,22351.41,22365.38,22340.03,22353.93,292.05341,61.39435274674966,22356.571787264253,22337.15996154067,15.422944907120836,25.18168385566685,-9.758738948546014
92,92,2022-09-12 12:43:00,22353.82,22356.59,22332.88,22342.99,211.3919,56.91224228339781,22351.139072358554,22337.888716348087,7.258044272864936,22.424200842928094,-15.166156570063158
93,93,2022-09-12 12:44:00,22343.99,22354.79,22340.93,22353.37,194.5047,59.90331719686965,22352.031443415133,22339.823876804578,9.790135709823517,20.48049851475816,-10.690362804934644
94,94,2022-09-12 12:45:00,22353.13,22360.48,22344.01,22346.03,212.84837,56.89561007146785,22349.63086604908,22340.599642204004,5.7367278396268375,18.212226103199495,-12.475498263572657
95,95,2022-09-12 12:46:00,22347.52,22363.41,22345.11,22352.7,265.43296,58.914389515976985,22350.858519629448,22342.112186928505,7.613145313604036,16.581598289415577,-8.968452975811541
